년월,현재 인원,채용 인원,영업 관리자,본부장,현재 콜 인원,콜 채용 인원,콜총괄,콜관리자,청구팀,1인당 청구건,청구건수,필요db장수(일),계약고객수(월), 월납 ,익월 수익(1150%), 기본급(지출) , 영업채용인력 지원(지출) ,영업 수당(지출),팀장 수당(지출),본부장(지출)(수정 예정), 콜 급여(지출) , 콜러채용인력 지원(지출) ,콜관리자 급여(지출),콜 총괄 급여(지출),청구팀(지출),마케팅비용,서류 비용,지출 총액,최종수익(익월),2차년도수익(900%),기획/개발,액션,비고
26년 2월,23,15,3,1,8,4,1,0,3,383,1150,480,307," 46,000,000 "," 552,000,000 "," 76,000,000 "," 15,000,000 "," 230,000,000 "," 36,800,000 "," 40,000,000 "," 24,000,000 "," 2,000,000 ", - ," 10,000,000 "," 9,000,000 "," 30,000,000 "," 115,000,000 "," 587,800,000 ","-35,800,000 "," 414,000,000 ",,,
26년 3월,36,20,5,1,12,6,1,0,5,360,1800,720,480," 72,000,000 "," 864,000,000 "," 112,000,000 "," 20,000,000 "," 360,000,000 "," 57,600,000 "," 40,000,000 "," 36,000,000 "," 3,000,000 ", - ," 10,000,000 "," 15,000,000 "," 70,000,000 "," 180,000,000 "," 903,600,000 ","-39,600,000 "," 648,000,000 ",청구자동화 + 앱 MVP,,
26년 4월,54,20,7,1,18,6,1,2,6,450,2700,1080,720," 108,000,000 "," 1,296,000,000 "," 148,000,000 "," 20,000,000 "," 540,000,000 "," 86,400,000 "," 40,000,000 "," 54,000,000 "," 3,000,000 "," 8,000,000 "," 10,000,000 "," 18,000,000 "," 100,000,000 "," 270,000,000 "," 1,297,400,000 ","-1,400,000 "," 972,000,000 ",전산 구축,GA 설립 준비,
26년 5월,72,20,9,1,24,6,1,3,8,450,3600,1440,960," 144,000,000 "," 1,728,000,000 "," 184,000,000 "," 20,000,000 "," 720,000,000 "," 115,200,000 "," 40,000,000 "," 72,000,000 "," 3,000,000 "," 12,000,000 "," 10,000,000 "," 24,000,000 "," 130,000,000 "," 360,000,000 "," 1,690,200,000 "," 37,800,000 "," 1,296,000,000 ",,서류발급 조직 구축(서울),소개비율 80%(경력 기준)
26년 6월,90,20,11,1,30,6,1,3,10,450,4500,1800,1200," 180,000,000 "," 2,160,000,000 "," 220,000,000 "," 20,000,000 "," 900,000,000 "," 144,000,000 "," 40,000,000 "," 90,000,000 "," 3,000,000 "," 12,000,000 "," 10,000,000 "," 30,000,000 "," 160,000,000 "," 450,000,000 "," 2,079,000,000 "," 81,000,000 "," 1,620,000,000 ",,"GA 설립, 준법감시체계",
26년 7월,108,20,13,1,36,6,1,4,12,450,5400,2160,1440," 216,000,000 "," 2,592,000,000 "," 256,000,000 "," 20,000,000 "," 1,080,000,000 "," 172,800,000 "," 40,000,000 "," 108,000,000 "," 3,000,000 "," 16,000,000 "," 10,000,000 "," 36,000,000 "," 190,000,000 "," 540,000,000 "," 2,471,800,000 "," 120,200,000 "," 1,944,000,000 ",Ver 2,"대건 고도화, 브랜딩, CRM",
26년 8월,126,20,15,1,42,6,1,4,14,450,6300,2520,1680," 252,000,000 "," 3,024,000,000 "," 292,000,000 "," 20,000,000 "," 1,260,000,000 "," 201,600,000 "," 40,000,000 "," 126,000,000 "," 3,000,000 "," 16,000,000 "," 10,000,000 "," 42,000,000 "," 220,000,000 "," 630,000,000 "," 2,860,600,000 "," 163,400,000 "," 2,268,000,000 ",,서류 조직 (수도권) 구축,
26년 9월,144,20,17,1,48,6,1,5,16,450,7200,2880,1920," 288,000,000 "," 3,456,000,000 "," 328,000,000 "," 20,000,000 "," 1,440,000,000 "," 230,400,000 "," 40,000,000 "," 144,000,000 "," 3,000,000 "," 20,000,000 "," 10,000,000 "," 48,000,000 "," 250,000,000 "," 720,000,000 "," 3,253,400,000 "," 202,600,000 "," 2,592,000,000 ",VER2 전략 최적화,,
26년 10월,162,20,19,1,54,6,1,6,18,450,8100,3240,2160," 324,000,000 "," 3,888,000,000 "," 364,000,000 "," 20,000,000 "," 1,620,000,000 "," 259,200,000 "," 40,000,000 "," 162,000,000 "," 3,000,000 "," 24,000,000 "," 10,000,000 "," 54,000,000 "," 280,000,000 "," 810,000,000 "," 3,646,200,000 "," 241,800,000 "," 2,916,000,000 ",,대건 외 추가 제휴처,
26년 11월,180,20,21,1,60,6,1,6,20,450,9000,3600,2400," 360,000,000 "," 4,320,000,000 "," 400,000,000 "," 20,000,000 "," 1,800,000,000 "," 288,000,000 "," 40,000,000 "," 180,000,000 "," 3,000,000 "," 24,000,000 "," 10,000,000 "," 60,000,000 "," 310,000,000 "," 900,000,000 "," 4,035,000,000 "," 285,000,000 "," 3,240,000,000 ",보험 드러내기 시작..?,,
