년월,26년 2월,26년 3월,26년 4월,26년 5월,26년 6월,26년 7월,26년 8월,26년 9월,26년 10월,26년 11월,26년 12월,27년 1월,27년 2월,27년 3월,27년 4월,27년 5월,27년 6월,27년 7월,27년 8월,27년 9월,27년 10월,27년 11월,27년 12월,28년 1월,28년 2월,28년 3월,28년 4월,28년 5월,28년 6월,28년 7월,28년 8월,28년 9월,28년 10월,28년 11월,28년 12월
기획/개발,,청구자동화 + 앱 MVP,전산 구축,,,Ver 2,,VER2 전략 최적화,,보험 드러내기 시작..?,,,,,,,,,,,,,,,,,,,,,,,,,
액션,,,GA 설립 준비,서류발급 조직 구축(서울),"GA 설립, 준법감시체계","대건 고도화, 브랜딩, CRM",서류 조직 (수도권) 구축,,대건 외 추가 제휴처,,,,,,,,,,,,,,,,,,,,,,,,,,
비고,,,,소개비율 80%(경력 기준),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 월납 ," 46,000,000 "," 72,000,000 "," 108,000,000 "," 144,000,000 "," 180,000,000 "," 216,000,000 "," 252,000,000 "," 288,000,000 "," 324,000,000 "," 360,000,000 "," 396,000,000 "," 432,000,000 "," 468,000,000 "," 504,000,000 "," 540,000,000 "," 576,000,000 "," 612,000,000 "," 648,000,000 "," 684,000,000 "," 720,000,000 "," 756,000,000 "," 792,000,000 "," 828,000,000 "," 864,000,000 "," 900,000,000 "," 936,000,000 "," 972,000,000 "," 1,008,000,000 "," 1,044,000,000 "," 1,080,000,000 "," 1,116,000,000 "," 1,152,000,000 "," 1,188,000,000 "," 1,224,000,000 "," 1,260,000,000 "
계약고객수(월), 307 , 480 , 720 , 960 ," 1,200 "," 1,440 "," 1,680 "," 1,920 "," 2,160 "," 2,400 "," 2,640 "," 2,880 "," 3,120 "," 3,360 "," 3,600 "," 3,840 "," 4,080 "," 4,320 "," 4,560 "," 4,800 "," 5,040 "," 5,280 "," 5,520 "," 5,760 "," 6,000 "," 6,240 "," 6,480 "," 6,720 "," 6,960 "," 7,200 "," 7,440 "," 7,680 "," 7,920 "," 8,160 "," 8,400 "
지출 총액," 587,800,000 "," 903,600,000 "," 1,297,400,000 "," 1,690,200,000 "," 2,079,000,000 "," 2,471,800,000 "," 2,860,600,000 "," 3,253,400,000 "," 3,646,200,000 "," 4,035,000,000 "," 4,427,800,000 "," 5,079,000,000 "," 5,497,000,000 "," 5,915,000,000 "," 6,329,000,000 "," 6,747,000,000 "," 7,165,000,000 "," 7,579,000,000 "," 7,997,000,000 "," 8,411,000,000 "," 8,829,000,000 "," 9,247,000,000 "," 9,661,000,000 "," 10,079,000,000 "," 10,493,000,000 "," 10,911,000,000 "," 11,329,000,000 "," 11,743,000,000 "," 12,161,000,000 "," 12,575,000,000 "," 12,993,000,000 "," 13,411,000,000 "," 13,825,000,000 "," 14,243,000,000 "," 14,661,000,000 "
최종수익(익월),"-58,800,000 ","-75,600,000 ","-55,400,000 ","-34,200,000 ","-9,000,000 "," 12,200,000 "," 37,400,000 "," 58,600,000 "," 79,800,000 "," 105,000,000 "," 126,200,000 ","-111,000,000 ","-115,000,000 ","-119,000,000 ","-119,000,000 ","-123,000,000 ","-127,000,000 ","-127,000,000 ","-131,000,000 ","-131,000,000 ","-135,000,000 ","-139,000,000 ","-139,000,000 ","-143,000,000 ","-143,000,000 ","-147,000,000 ","-151,000,000 ","-151,000,000 ","-155,000,000 ","-155,000,000 ","-159,000,000 ","-163,000,000 ","-163,000,000 ","-167,000,000 ","-171,000,000 "
2차년도수익(900%)," 414,000,000 "," 648,000,000 "," 972,000,000 "," 1,296,000,000 "," 1,620,000,000 "," 1,944,000,000 "," 2,268,000,000 "," 2,592,000,000 "," 2,916,000,000 "," 3,240,000,000 "," 3,564,000,000 "," 3,888,000,000 "," 4,212,000,000 "," 4,536,000,000 "," 4,860,000,000 "," 5,184,000,000 "," 5,508,000,000 "," 5,832,000,000 "," 6,156,000,000 "," 6,480,000,000 "," 6,804,000,000 "," 7,128,000,000 "," 7,452,000,000 "," 7,776,000,000 "," 8,100,000,000 "," 8,424,000,000 "," 8,748,000,000 "," 9,072,000,000 "," 9,396,000,000 "," 9,720,000,000 "," 10,044,000,000 "," 10,368,000,000 "," 10,692,000,000 "," 11,016,000,000 "," 11,340,000,000 "
현재 인원, 23 , 36 , 54 , 72 , 90 , 108 , 126 , 144 , 162 , 180 , 198 , 216 , 234 , 252 , 270 , 288 , 306 , 324 , 342 , 360 , 378 , 396 , 414 , 432 , 450 , 468 , 486 , 504 , 522 , 540 , 558 , 576 , 594 , 612 , 630 
채용 인원, 15 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 , 20 
